number,study,date,authors,title,journal,year,topic_raw,topic,topic_description,measures,measures_order,stimClass_raw,stimClass,visualMoving,stimType,design,subComp,location,sleeping,study_description,brainRegions_raw,measures_raw,numberSegment_raw,numberSegments,durationSegment_raw,durationSegment,completedSegment,completedDuration,length,age_raw,age,ageRange_raw,ageRange,newborn,female,femaleProp,characteristics,preterm,groupType,inclusionCriteria,manufacturer,version,detectors,channels,recruited,excludedBaby,excludedSig,excludedExp,excludedOther,finalSample_raw,finalSample,includeOverall,includeReasons,attrition,attritionBaby,attritionSig,attritionExp
75b,75,6/30/20,"Frie, Jakob; Padilla, Nelly; äš_í_däš_Œ©n, Ulrika; Lagercrantz, Hugo; Bartocci, Marco",Extremely preterm-born infants demonstrate different facial recognition processes at 6-10 months of corrected age,The Journal of Pediatrics,2016,F,F,Frontotemporal cortex responses to mother's face vs. unknown face in extremely preterm vs. full-term infants,A,A,A,V,static,A,B,"A,C",lab,awake,"Presentation of mother's face and unfamiliar face (15s each), separated by 15s baseline gray screen, counterbalanced order: group A=mother's face first, group B=unfamiliar face first","A,D",A,2,2,15,15,Not reported ,Not reported ,30,216 days (full-term group),7.2,6 to 10,6 to 10,non-newborn,13,0.5,Japanese,full-term,td,"healthy, full-term (full-term group)",Hamamatsu,NIRO 200 or 300,1,2,38,12,0,0,0,26,26,1,1,0.315789474,0.315789474,NA,NA
76a,76,6/1/20,"Fuchino, Yutaka; Naoi, Nozomi; Shibata, Minoru; Niwa, Fusako; Kawai, Masahiko; Konishi, Yukuo; Okanoya, Kazuo; Myowa-Yamakoshi, Masako",Effects of preterm birth on intrinsic fluctuations in neonatal cerebral activity examined using optical imaging,PLoS ONE,2013,H,H,Resting state functional connectivity in full-term and preterm neonates,A,A,F,None,,H,C,"A,C",hospital,sleeping,"Infants tested during natural sleep while being held by pediatrician, recording lasted up to 6.5min or until infants awoke or began crying","A,B,C,D",C,1,1,6.5 mins ,390,1,3 to 6.5 mins ,390,52.2 days (preterm group),1.74,4 to 129 days (preterm group),,newborn,10,0.4,"Preterm, Japanese",preterm,td_risk,"no anatomical abnormality risks, <37 weeks gestation (preterm group), 37+ weeks gestation (full-term group)",Hitachi,ETG 7000,30,94,Not reported ,NA,Not reported ,Not reported ,Not reported,25,25,0,0,NA,NA,NA,NA
76a,76,6/1/20,"Fuchino, Yutaka; Naoi, Nozomi; Shibata, Minoru; Niwa, Fusako; Kawai, Masahiko; Konishi, Yukuo; Okanoya, Kazuo; Myowa-Yamakoshi, Masako",Effects of preterm birth on intrinsic fluctuations in neonatal cerebral activity examined using optical imaging,PLoS ONE,2013,H,H,Resting state functional connectivity in full-term and preterm neonates,A,A,F,None,,H,C,"A,C",hospital,sleeping,"Infants tested during natural sleep while being held by pediatrician, recording lasted up to 6.5min or until infants awoke or began crying","A,B,C,D",C,1,1,6.5 mins ,390,1,3 to 6.5 mins ,390,4.7 days (full-term group),0.156666667,2 to 8 days (full-term group),,newborn,15,0.625,Japanese,full-term,td,"no anatomical abnormality risks, <37 weeks gestation (preterm group), 37+ weeks gestation (full-term group)",Hitachi,ETG 7000,30,94,Not reported ,NA,Not reported ,Not reported ,Not reported,24,24,0,0,NA,NA,NA,NA
78a,78,6/1/20,"Gervain, J.; Berent, I.; Werker, J. F.",Binding at birth: the newborn brain detects identity relations and sequential position in speech,J Cogn Neurosci,2012,C,C,Extraction of linguistic structure from speech input in newborn infants,A,A,C ,A,,D,A,A,hospital,awake,"28 blocks (18s each) of 140 French pseudowords following AAB and ABC grammar structure (study 1) or AAB and ABB structure (study 2/3), separated by 25-35s between blocks","A,D",A ,28,28,18,18,Not reported ,22 to 25 mins ,504,1.14 days (study 1),0.038,0 to 3 days ,Newborn,newborn,9,0.409090909,French-hearing,full-term,td,"healthy, full-term, Apgar score of at least 8",Hitachi ,ETG 4000,8,24,35,11,2,0,0,22,22,1,1,0.371428571,0.314285714,0.057142857,NA
78b,78,6/1/20,"Gervain, J.; Berent, I.; Werker, J. F.",Binding at birth: the newborn brain detects identity relations and sequential position in speech,J Cogn Neurosci,2012,C,C,Extraction of linguistic structure from speech input in newborn infants,A,A,C ,A,,D,A,A,hospital,awake,"28 blocks (18s each) of 140 French pseudowords following AAB and ABC grammar structure (study 1) or AAB and ABB structure (study 2/3), separated by 25-35s between blocks","A,D",A ,28,28,18,18,Not reported ,22 to 25 mins ,504,1.05 days (study 2),0.035,0 to 3 days ,Newborn,newborn,15,0.75,French-hearing,full-term,td,"healthy, full-term, Apgar score of at least 8",Hitachi ,ETG 4000,8,24,31,6,5,0,0,20,20,1,1,0.35483871,0.193548387,0.161290323,NA
78c,78,6/1/20,"Gervain, J.; Berent, I.; Werker, J. F.",Binding at birth: the newborn brain detects identity relations and sequential position in speech,J Cogn Neurosci,2012,C,C,Extraction of linguistic structure from speech input in newborn infants,A,A,C ,A,,D,A,A,hospital,awake,"28 blocks (18s each) of 140 French pseudowords following AAB and ABC grammar structure (study 1) or AAB and ABB structure (study 2/3), separated by 25-35s between blocks","A,D",A ,28,28,18,18,Not reported ,22 to 25 mins ,504,1.5 days (study 3),0.05,0 to 3 days ,Newborn,newborn,14,0.583333333,French-hearing,full-term,td,"healthy, full-term, Apgar score of at least 8",Hitachi ,ETG 4000,8,24,35,8,3,0,0,24,24,1,1,0.314285714,0.228571429,0.085714286,NA
79,79,6/3/20,"Gervain, J.; Werker, J. F.; Black, A.; Geffen, M. N.",The neural correlates of processing scale-invariant environmental sounds at birth,NeuroImage,2016,C,C,Cortical responses to scale-invariant vs. variable-scale environmental sounds in newborn infants,A,A,C,A,,G,A,A,hospital,sleeping,"Newborns tested while quietly resting or sleeping, exposed to 32 blocks (16 non-alternating, 16 alternating) or computer-generated scale-invariant or scale-variable water sounds, blocks separated by 25-35s silence","A,D",A,32,32,18,18,Not reported ,Not reported ,576,1.73 days ,0.057666667,0 to 3 days ,Newborn,newborn,9,0.409090909,None ,full-term,td,"healthy, full-term, Apgar score of at least 8",Hitachi ,ETG 4000,8,24,30,5,3,0,0,22,22,1,1,0.266666667,0.166666667,0.1,NA
80a,80,6/3/20,"Gomez, David Maximiliano; Berent, Iris; Benavides-Varela, Silvia; Bion, Ricardo A. H.; Cattarossi, Luigi; Nespor, Marina; Mehler, Jacques",Language universals at birth,PNAS Proceedings of the National Academy of Sciences of the United States of America,2014,C,C,Preference for well-formed vs. ill-formed syllables in newborn infants based on universal bias,A,A,C,A,,D,A,A,hospital,sleeping,"Newborns tested during sleep or a quiet state of rest, 20 blocks (10 well-formed, 10 ill-formed) of 8 words (13s each), separated 25-35s silence between blocks, tested on: CCVC syllables with sonority rise or fall between first 2 consonants (study 1), CCVC syllables with sonority rise or plateau between first 2 consonants (study 2), VCCVC syllables with sonority rise or fall between first 2 consonants (study S1)","A,B,D",A,20,20,13,13,Not reported ,~15 mins ,260,2.9 days (study 1),0.096666667,2 to 5 days,Newborn,newborn,16,0.666666667,Italian ,full-term,td,"healthy, Apgar score at least 7 in first minute, head circumference at least 33cm, no cephalohematoma",Hitachi ,ETG 4000,8,24,32,4,3,1,0,24,24,1,1,0.25,0.125,0.09375,0.03125
80b,80,6/3/20,"Gomez, David Maximiliano; Berent, Iris; Benavides-Varela, Silvia; Bion, Ricardo A. H.; Cattarossi, Luigi; Nespor, Marina; Mehler, Jacques",Language universals at birth,PNAS Proceedings of the National Academy of Sciences of the United States of America,2014,C,C,Preference for well-formed vs. ill-formed syllables in newborn infants based on universal bias,A,A,C,A,,D,A,A,hospital,sleeping,"Newborns tested during sleep or a quiet state of rest, 20 blocks (10 well-formed, 10 ill-formed) of 8 words (13s each), separated 25-35s silence between blocks, tested on: CCVC syllables with sonority rise or fall between first 2 consonants (study 1), CCVC syllables with sonority rise or plateau between first 2 consonants (study 2), VCCVC syllables with sonority rise or fall between first 2 consonants (study S1)","A,B,D",A,20,20,13,13,Not reported ,~15 mins ,260,3.0 days (study 2),0.1,2 to 5 days,Newborn,newborn,10,0.416666667,Italian ,full-term,td,"healthy, Apgar score at least 7 in first minute, head circumference at least 33cm, no cephalohematoma",Hitachi ,ETG 4000,8,24,40,10,6,0,0,24,24,1,1,0.4,0.25,0.15,NA
80c,80,6/3/20,"Gomez, David Maximiliano; Berent, Iris; Benavides-Varela, Silvia; Bion, Ricardo A. H.; Cattarossi, Luigi; Nespor, Marina; Mehler, Jacques",Language universals at birth,PNAS Proceedings of the National Academy of Sciences of the United States of America,2014,C,C,Preference for well-formed vs. ill-formed syllables in newborn infants based on universal bias,A,A,C,A,,D,A,A,hospital,sleeping,"Newborns tested during sleep or a quiet state of rest, 20 blocks (10 well-formed, 10 ill-formed) of 8 words (13s each), separated 25-35s silence between blocks, tested on: CCVC syllables with sonority rise or fall between first 2 consonants (study 1), CCVC syllables with sonority rise or plateau between first 2 consonants (study 2), VCCVC syllables with sonority rise or fall between first 2 consonants (study S1)","A,B,D",A,20,20,13,13,Not reported ,~15 mins ,260,3.2 days (study S1),0.106666667,2 to 5 days,Newborn,newborn,14,0.583333333,Italian ,full-term,td,"healthy, Apgar score at least 7 in first minute, head circumference at least 33cm, no cephalohematoma",Hitachi ,ETG 4000,8,24,42,11,7,0,0,24,24,1,1,0.428571429,0.261904762,0.166666667,NA
81,81,6/3/20,"Grossmann, T.; Johnson, M. H.",Selective prefrontal cortex responses to joint attention in early infancy,Biology Letters,2010,F,F,Neural substrate of joint attention,A,A,B,V,moving,A,B,A,lab,awake,"Trial design (9s each) where infants saw animated photo-like face stimuli in 3 conditions: joint attention (face made eye contact with infant, then shifted gaze to object on either right or left side of screen), no referent control (face made eye contact, then shifted gaze to the side of the screen without the object), no eye contact (face looked down then shifted to object), separated by 8-12s ITI consisting of non-social moving stimuli",A,A,Not reported,NA,9,9,Not reported ,Not reported ,NA,149.1 days,4.9,136 to 159 days (5 months),4.53 to 5.3,non-newborn,8,0.533333333,None ,full-term,td,"full-term (37 to 42 weeks gestation), normal birthweight (>2500g)",Hitachi ,ETG 4000,8,24,23,0,8,0,0,15,15,1,1,0.347826087,NA,0.347826087,NA
82,82,6/3/20,"Grossmann, T.; Johnson, M. H.; Lloyd-Fox, S.; Blasi, A.; Deligianni, F.; Elwell, C.; Csibra, G.",Early cortical specialization for face-to-face communication in human infants,Proceedings of the Royal Society B: Biological Sciences,2008,F,F,Cortical responses to mutual vs. averted gaze,"A,E",A,B,V,moving,A,B,A,lab,awake,"Trial design (15s each) with a minimum of 7 trials per condition - mutual gaze/averted gaze, face presented for 1000ms + 1000ms eye contact/no eye contact with neutral expression + 1000ms eye contact/no eye contact with smiling expression and eyebrow raise + 1000ms eye contact/no eye contact with neutral expression + 1000ms eye contact/no eye contact with smiling expression and eyebrow raise, separated by 6s baseline (moving cars)","A,D",A,Not reported ,NA,15,15,21.3,319.5,NA,140 days ,4.6,134 to 150 days (4 months),4.47 to 5,non-newborn,5,0.416666667,None ,full-term,td,"full-term (37 to 42 weeks gestation), normal birthweight (>2500g)",UCL,Not reported ,NA,16,22,0,9,1,0,12,12,1,1,0.454545455,NA,0.409090909,0.045454545
84,84,6/3/20,"Grossmann, T.; Oberecker, R.; Koch, S. P.; Friederici, A. D.",The Developmental Origins of Voice Processing in the Human Brain,Neuron,2010,"C,F ",C,Processing of vocal sounds and emotional prosody,A,A,C,A,,"D,G",A,"A,D",lab,awake,"40 trials (8s each) of vocal stimuli (speech - words/nonwords and nonspeech) vs. non-vocal stimuli (nature, animals, car, phone, plane, musical instrument), separated by 12s ITI (study 1); 5s trials of 5 neutral German words spoken with one emotional prosody category (happy, angry, neutral), separated by 15s ITI (study 2); cartoon presented on computer screen during auditory stimulus presentation to maintain engagement during both studies","A,D",A,"40 (study 1), Not reported (study 2)",NA,8,8,22,"7mins, 20secs",NA,"123.1 days (study 1 - 4mo group), 210.2 days (study 1 - 7mo group), 211.8 days (study 2)",6.1,4 and 7,4 to 7,non-newborn,23,0.46,None ,full-term,td,"full-term (37 to 42 weeks gestation), normal birthweight (>2500g)",Hitachi ,ETG 4000,8,24,76,NA,18,2,0,50,50,0,1,0.342105263,NA,0.236842105,0.026315789
84a,84,6/3/20,"Grossmann, T.; Oberecker, R.; Koch, S. P.; Friederici, A. D.",The Developmental Origins of Voice Processing in the Human Brain,Neuron,2010,"C,F ",C,Processing of vocal sounds and emotional prosody,A,A,C,A,,"D,G",A,"A,D",lab,awake,"40 trials (8s each) of vocal stimuli (speech - words/nonwords and nonspeech) vs. non-vocal stimuli (nature, animals, car, phone, plane, musical instrument), separated by 12s ITI (study 1); 5s trials of 5 neutral German words spoken with one emotional prosody category (happy, angry, neutral), separated by 15s ITI (study 2); cartoon presented on computer screen during auditory stimulus presentation to maintain engagement during both studies","A,D",A,40,40,8,8,22,"7mins, 20secs",320,123.1 days (study 1 - 4mo group),4.04,4,4,non-newborn,7,0.4375,None ,full-term,td,"full-term (37 to 42 weeks gestation), normal birthweight (>2500g)",Hitachi ,ETG 4000,8,24,22,NA,Not reported,Not reported,0,16,16,1,0,0.272727273,NA,NA,NA
84b,84,6/3/20,"Grossmann, T.; Oberecker, R.; Koch, S. P.; Friederici, A. D.",The Developmental Origins of Voice Processing in the Human Brain,Neuron,2010,"C,F ",C,Processing of vocal sounds and emotional prosody,A,A,C,A,,"D,G",A,"A,D",lab,awake,"40 trials (8s each) of vocal stimuli (speech - words/nonwords and nonspeech) vs. non-vocal stimuli (nature, animals, car, phone, plane, musical instrument), separated by 12s ITI (study 1); 5s trials of 5 neutral German words spoken with one emotional prosody category (happy, angry, neutral), separated by 15s ITI (study 2); cartoon presented on computer screen during auditory stimulus presentation to maintain engagement during both studies","A,D",A,40,40,8,8,22,"7mins, 20secs",320,210.2 days (study 1 - 7mo group),6.91,7,7,non-newborn,8,0.5,None ,full-term,td,"full-term (37 to 42 weeks gestation), normal birthweight (>2500g)",Hitachi ,ETG 4000,8,24,24,NA,Not reported,Not reported,0,16,16,1,0,0.333333333,NA,NA,NA
84c,84,6/3/20,"Grossmann, T.; Oberecker, R.; Koch, S. P.; Friederici, A. D.",The Developmental Origins of Voice Processing in the Human Brain,Neuron,2010,"C,F ",C,Processing of vocal sounds and emotional prosody,A,A,C,A,,D,A,A,lab,awake,"40 trials (8s each) of vocal stimuli (speech - words/nonwords and nonspeech) vs. non-vocal stimuli (nature, animals, car, phone, plane, musical instrument), separated by 12s ITI (study 1); 5s trials of 5 neutral German words spoken with one emotional prosody category (happy, angry, neutral), separated by 15s ITI (study 2); cartoon presented on computer screen during auditory stimulus presentation to maintain engagement during both studies","A,D",A,Not reported ,NA,5,5,22,"7mins, 20secs",NA,211.8 days (study 2),6.96,7,7,non-newborn,8,0.5,None ,full-term,td,"full-term (37 to 42 weeks gestation), normal birthweight (>2500g)",Hitachi ,ETG 4000,8,24,30,NA,Not reported,Not reported,0,18,16,1,0,0.466666667,NA,NA,NA
85,85,6/3/20,"Grossmann, Tobias; Cross, Emily S.; Ticini, Luca F.; Daum, Moritz M.",Action observation in the infant brain: The role of body form and motion,Social Neuroscience,2013,F,F,Infants' processing of agents in motion,A,A,B,V,moving,"A,E,I (Lego figures)",B,A,lab,awake,"Trial design (7.7s each) including 4 videos (2 human, 2 robot/Lego figure) dancing in human-like manner or robot-like manner, separated by 8-12s ITI","A,D",A,Not reported ,NA,7.7,7.7,Not reported ,Not reported ,NA,122 days ,4.01,4 (113 to 129 days),3.77 to 4.3,non-newborn,8,0.533333333,German,full-term,td,"full-term (37 to 42 weeks gestation), normal birthweight (>2500g)",Hitachi ,ETG 4000,8,24,25,5,5,0,0,15,15,1,1,0.4,0.2,0.2,NA
